Tipo_de_Punto,Lugar,Direccion,Residuos_Aceptados,Dias,Horarios,Latitud,Longitud
Contenedor en vía pública,Metálico Naranja Lateral,ITUZAINGO 412,Reciclables,Lunes a Domingos,19:00 a 21:00,6353204.38,5440907.987
Contenedor en vía pública,Metálico Naranja Lateral,BALCARCE 2981,Reciclables,Lunes a Domingos,19:00 a 21:00,6352403.504,5438465.667
Contenedor en vía pública,Metálico Naranja Lateral,ALEM LEANDRO N 1530,Reciclables,Lunes a Domingos,19:00 a 21:00,6353784.445,5441040.552
Contenedor en vía pública,Metálico Naranja Lateral,CORRIENTES 177,Reciclables,Lunes a Domingos,19:00 a 21:00,6355864.563,5440098.168
Contenedor en vía pública,Metálico Naranja Lateral,GENOVA 5523,Reciclables,Lunes a Domingos,19:00 a 21:00,6358359.292,5434570.403
Contenedor en vía pública,Metálico Naranja Lateral,ITALIA 190,Reciclables,Lunes a Domingos,19:00 a 21:00,6355952.433,5439576.778
Contenedor en vía pública,Metálico Naranja Lateral,GENOVA 6182,Reciclables,Lunes a Domingos,19:00 a 21:00,6358328.52,5433790.44
Contenedor en vía pública,Metálico Naranja Lateral,LAGOS OVIDIO 2509,Reciclables,Lunes a Domingos,19:00 a 21:00,6353188.666,5437703.768
Contenedor en vía pública,Metálico Naranja Lateral,SAN MARTIN GRAL. JOSE 1387,Reciclables,Lunes a Domingos,19:00 a 21:00,6354139.926,5440299.498
Contenedor en vía pública,Metálico Naranja Lateral,ROSAS BRGD. JUAN MANUEL DE 1531,Reciclables,Lunes a Domingos,19:00 a 21:00,6353846.198,5440765.048
Contenedor en vía pública,Metálico Naranja Lateral,ROCA PTE. JULIO ARGENTINO 1381,Reciclables,Lunes a Domingos,19:00 a 21:00,6354312.826,5439509.049
Contenedor en vía pública,Metálico Naranja Lateral,LAGOS OVIDIO 3373,Reciclables,Lunes a Domingos,19:00 a 21:00,6352083.939,5437490.774
Contenedor en vía pública,Metálico Naranja Lateral,TRES DE FEBRERO 809,Reciclables,Lunes a Domingos,19:00 a 21:00,6354199.182,5440550.559
Contenedor en vía pública,Metálico Naranja Lateral,PERON PTE. JUAN DOMINGO 3347,Reciclables,Lunes a Domingos,19:00 a 21:00,6353823.504,5437093.072
Contenedor en vía pública,Metálico Naranja Lateral,PROVINCIAS UNIDAS 3182,Reciclables,Lunes a Domingos,19:00 a 21:00,6352742.076,5433470.355
Contenedor en vía pública,Metálico Naranja Lateral,LAGOS OVIDIO 213,Reciclables,Lunes a Domingos,19:00 a 21:00,6356186.585,5438302.283
Contenedor en vía pública,Metálico Naranja Lateral,OROÑO NICASIO 155,Reciclables,Lunes a Domingos,19:00 a 21:00,6356103.321,5439089.957
Contenedor en vía pública,Metálico Naranja Lateral,ALBERDI JUAN BAUTISTA 910,Reciclables,Lunes a Domingos,19:00 a 21:00,6358192.401,5436023.788
Contenedor en vía pública,Metálico Naranja Lateral,DORREGO MANUEL 509,Reciclables,Lunes a Domingos,19:00 a 21:00,6355566.513,5439366.48
Contenedor en vía pública,Metálico Naranja Lateral,RIOJA 3512,Reciclables,Lunes a Domingos,19:00 a 21:00,6355486.616,5437215.218
Contenedor en vía pública,Metálico Naranja Lateral,SAN LUIS 2444,Reciclables,Lunes a Domingos,19:00 a 21:00,6355043.947,5438540.419
Contenedor en vía pública,Metálico Naranja Lateral,MONTEVIDEO 3695,Reciclables,Lunes a Domingos,19:00 a 21:00,6354583.452,5436782.726
Contenedor en vía pública,Metálico Naranja Lateral,ZEBALLOS DR. ESTANISLAO 2320,Reciclables,Lunes a Domingos,19:00 a 21:00,6354349.262,5438561.402
Contenedor en vía pública,Metálico Naranja Lateral,PROVINCIAS UNIDAS 1187,Reciclables,Lunes a Domingos,19:00 a 21:00,6355391.706,5433376.717
Contenedor en vía pública,Metálico Naranja Lateral,OROÑO NICASIO 351,Reciclables,Lunes a Domingos,19:00 a 21:00,6355848.12,5439037.573
Contenedor en vía pública,Metálico Naranja Lateral,ZEBALLOS DR. ESTANISLAO 2905,Reciclables,Lunes a Domingos,19:00 a 21:00,6354503.061,5437815.297
Contenedor en vía pública,Metálico Naranja Lateral,URQUIZA GRAL. JUSTO JOSE 1969,Reciclables,Lunes a Domingos,19:00 a 21:00,6355595.624,5439280.805
Contenedor en vía pública,Metálico Naranja Lateral,BALCARCE 556,Reciclables,Lunes a Domingos,19:00 a 21:00,6355555.97,5439098.573
Contenedor en vía pública,Metálico Naranja Lateral,SARMIENTO DOMINGO FAUSTINO 1509,Reciclables,Lunes a Domingos,19:00 a 21:00,6354016.538,5440127.298
Contenedor en vía pública,Metálico Naranja Lateral,LAGOS OVIDIO 731,Reciclables,Lunes a Domingos,19:00 a 21:00,6355533.996,5438167.585
Contenedor en vía pública,Metálico Naranja Lateral,OROÑO NICASIO 5877,Reciclables,Lunes a Domingos,19:00 a 21:00,6348438.766,5437883.646
Contenedor en vía pública,Metálico Naranja Lateral,SAN JUAN 4811,Reciclables,Lunes a Domingos,19:00 a 21:00,6355541.263,5435498.68
Contenedor en vía pública,Metálico Naranja Lateral,MENDOZA 4887,Reciclables,Lunes a Domingos,19:00 a 21:00,6355406.636,5435368.933
Contenedor en vía pública,Metálico Naranja Lateral,RIOBAMBA 1011,Reciclables,Lunes a Domingos,19:00 a 21:00,6353110.43,5440070.643
Contenedor en vía pública,Metálico Naranja Lateral,VEINTISIETE DE FEBRERO 1367,Reciclables,Lunes a Domingos,19:00 a 21:00,6352691.837,5439490.089
Contenedor en vía pública,Metálico Naranja Lateral,TRES DE FEBRERO 3518,Reciclables,Lunes a Domingos,19:00 a 21:00,6354909.798,5437088.338
Contenedor en vía pública,Metálico Naranja Lateral,OCAMPO 984,Reciclables,Lunes a Domingos,19:00 a 21:00,6352722.509,5440023.526
